Gene stable ID,Transcript stable ID
PBANKA_141560,CDS51611
PBANKA_141570,CDS51614
PBANKA_141580,CDS51616
PBANKA_141590,CDS51618
PBANKA_141600,CDS51620
PBANKA_141610,CDS51622
PBANKA_141620,CDS51624
PBANKA_141630,CDS51626
PBANKA_141640,CDS51628
PBANKA_141650,CDS51630
PBANKA_141660,CDS51632
PBANKA_141670,CDS51634
PBANKA_141680,CDS51636
PBANKA_141690,CDS51638
PBANKA_141700,CDS51641
PBANKA_141710,CDS51643
PBANKA_141720,CDS51645
PBANKA_141730,CDS51647
PBANKA_141740,CDS51648
PBANKA_141750,CDS51650
PBANKA_141760,CDS51652
PBANKA_141770,CDS51654
PBANKA_141780,CDS51656
PBANKA_141790,CDS51658
PBANKA_141800,CDS51660
PBANKA_141810,CDS51662
PBANKA_141820,CDS51664
PBANKA_141830,CDS51665
PBANKA_141840,CDS51668
PBANKA_141850,CDS51675
PBANKA_141860,CDS51676
PBANKA_141870,CDS51678
PBANKA_141880,CDS51680
PBANKA_141890,CDS51681
PBANKA_141900,CDS51683
PBANKA_141910,CDS51685
PBANKA_141920,CDS51687
PBANKA_141930,CDS51689
PBANKA_141940,CDS51691
PBANKA_141950,CDS51693
PBANKA_141960,CDS51695
PBANKA_141970,CDS51696
PBANKA_141980,CDS51698
PBANKA_141990,CDS51700
PBANKA_142000,CDS51701
PBANKA_142010,CDS51703
PBANKA_142020,CDS51705
PBANKA_142030,CDS51707
PBANKA_142040,CDS51709
PBANKA_142050,CDS51711
PBANKA_142060,CDS51713
PBANKA_142070,CDS51715
PBANKA_142080,CDS51717
PBANKA_142090,CDS51719
PBANKA_142100,CDS51721
PBANKA_142110,CDS51723
PBANKA_142120,CDS51725
PBANKA_142130,CDS51728
PBANKA_142140,CDS51730
PBANKA_142150,CDS51732
PBANKA_142160,CDS51734
PBANKA_142170,CDS51736
PBANKA_142180,CDS51738
PBANKA_142190,CDS51740
PBANKA_142200,CDS51742
PBANKA_142210,CDS51744
PBANKA_142220,CDS51746
PBANKA_142230,CDS51748
PBANKA_142240,CDS51750
PBANKA_142250,CDS51752
PBANKA_142260,CDS51754
PBANKA_142270,CDS51756
PBANKA_142280,CDS51758
PBANKA_142290,CDS51760
PBANKA_142300,CDS51762
PBANKA_142310,CDS51764
PBANKA_142320,CDS51766
PBANKA_142330,CDS51768
PBANKA_142340,CDS51770
PBANKA_142350,CDS51772
PBANKA_142360,CDS51774
PBANKA_142370,CDS51776
PBANKA_142380,CDS51778
PBANKA_142390,CDS51780
PBANKA_142400,CDS51782
PBANKA_142410,CDS51784
PBANKA_142420,CDS51786
PBANKA_142430,CDS51788
PBANKA_142440,CDS51789
PBANKA_142450,CDS51791
PBANKA_142460,CDS51792
PBANKA_142470,CDS51794
PBANKA_142480,CDS51795
PBANKA_142490,CDS51797
PBANKA_142500,CDS51798
PBANKA_142510,CDS51800
PBANKA_142520,CDS51802
PBANKA_142530,CDS51804
PBANKA_142535,CDS51806
PBANKA_142540,CDS51808
PBANKA_142550,CDS51809
PBANKA_142560,CDS51812
PBANKA_142570,CDS51813
PBANKA_142580,CDS51815
PBANKA_142590,CDS51817
PBANKA_142600,CDS51819
PBANKA_142610,CDS51821
PBANKA_142620,CDS51823
PBANKA_142630,CDS51825
PBANKA_142640,CDS51827
PBANKA_142650,CDS51829
PBANKA_142660,CDS51831
PBANKA_142670,CDS51833
PBANKA_142680,CDS51835
PBANKA_142690,CDS51837
PBANKA_142700,CDS51839
PBANKA_142710,CDS51841
PBANKA_142720,CDS51843
PBANKA_142730,CDS51845
PBANKA_142740,CDS51847
PBANKA_142750,CDS51849
PBANKA_142760,CDS51851
PBANKA_142770,CDS51853
PBANKA_142780,CDS51855
PBANKA_142790,CDS51858
PBANKA_142800,CDS51860
PBANKA_142810,CDS51862
PBANKA_142820,CDS51864
PBANKA_142830,CDS51866
PBANKA_142840,CDS51868
PBANKA_142850,CDS51870
PBANKA_142860,CDS51872
PBANKA_142870,CDS51874
PBANKA_142880,CDS51876
PBANKA_142890,CDS51878
PBANKA_142900,CDS51880
PBANKA_142910,CDS51882
PBANKA_142920,CDS51884
PBANKA_142930,CDS51885
PBANKA_142940,CDS51886
PBANKA_142950,CDS51887
PBANKA_142960,CDS51889
PBANKA_142970,CDS51891
PBANKA_142980,CDS51893
PBANKA_142990,CDS51896
PBANKA_143000,CDS51898
PBANKA_143010,CDS51900
PBANKA_143020,CDS51902
PBANKA_143030,CDS51903
PBANKA_143040,CDS51905
PBANKA_143050,CDS51908
PBANKA_143060,CDS51909
PBANKA_143070,CDS51911
PBANKA_143080,CDS51913
PBANKA_143090,CDS51915
PBANKA_143100,CDS51917
PBANKA_143105,CDS51918
PBANKA_143110,CDS51921
PBANKA_143120,CDS51923
PBANKA_143130,CDS51924
PBANKA_143140,CDS51926
PBANKA_143150,CDS51928
PBANKA_143160,CDS51930
PBANKA_143170,CDS51931
PBANKA_143180,CDS51933
PBANKA_143190,CDS51935
PBANKA_143200,CDS51937
PBANKA_143210,CDS51939
PBANKA_143220,CDS51940
PBANKA_143230,CDS51942
PBANKA_143240,CDS51945
PBANKA_143250,CDS51947
PBANKA_143260,CDS51949
PBANKA_143270,CDS51951
PBANKA_143280,CDS51953
PBANKA_143290,CDS51955
PBANKA_143300,CDS51957
PBANKA_143310,CDS51958
PBANKA_143320,CDS51960
PBANKA_143330,CDS51963
PBANKA_143340,CDS51965
PBANKA_143350,CDS51967
PBANKA_143360,CDS51969
PBANKA_143370,CDS51971
PBANKA_143380,CDS51973
PBANKA_143390,CDS51975
PBANKA_143400,CDS51977
PBANKA_143410,CDS51979
PBANKA_143420,CDS51980
PBANKA_143430,CDS51982
PBANKA_143440,CDS51984
PBANKA_143450,CDS51986
PBANKA_143460,CDS51987
PBANKA_143470,CDS51989
PBANKA_143480,CDS51991
PBANKA_143490,CDS51993
PBANKA_143500,CDS51995
PBANKA_143510,CDS51996
PBANKA_143520,CDS51998
PBANKA_143530,CDS52000
PBANKA_143540,CDS52002
PBANKA_143550,CDS52004
PBANKA_143560,CDS52006
PBANKA_143570,CDS52008
PBANKA_143580,CDS52010
