"","Ookinete","Sporozoite","Liver_stages","Ring","Trophozoite","Schizont","Gametocyte","Gametocye"
"PBANKA_000230",-0.0259550319808929,0.202188888157593,0.0196172798270461,0.332509202058389,-1.40002736173746,1.5524092319719,0.719285153440879,-1.40002736173746
"PBANKA_010080",0.891346903861108,-2.07155320375127,-0.17468638904838,1.14654881796656,0.540085522710785,-0.088472139169022,-0.468022382638596,0.224752870068811
"PBANKA_010090",0.876455900795942,-2.07775722465683,-0.295304495728272,0.235581997365367,-0.615863771571437,0.775566617728402,0.246686281204041,0.854634694862782
"PBANKA_010100",-0.266471865575519,-1.29896378834579,0.673920417332841,-0.429801349949773,-1.38709052069983,0.579779389686017,0.867977847279281,1.26064987027277
"PBANKA_010110",-0.833775369813541,-1.33505713895339,0.98879386908181,-0.618530843380698,-0.573556102011986,0.793919469388465,1.48102261633612,0.097183499353219
"PBANKA_010120",-1.94152520919628,-0.22733402491658,-0.157479932043803,-0.517232470059285,1.38299286345707,0.617648040095977,0.0771941983191949,0.765736534343705
"PBANKA_010130",-1.24488762936612,-0.759658402067412,1.0157132103522,-1.14114007914367,-0.467686292695021,0.677900322055949,0.864266883017166,1.05549198784691
"PBANKA_010140",0.815442598387896,-1.79267959999573,0.135155942014193,0.715627035983574,1.02867193497111,0.594204164073035,-0.574890547181448,-0.921531528252639
"PBANKA_010150",0.121521727722478,0.707363687159166,-0.639337672017258,1.96996095510068,0.204869020354783,-1.22686219727921,-0.543884950262656,-0.593630570777981
"PBANKA_010160",0.485899682698324,-1.76516202490633,0.641561049325295,-0.286978258035134,-1.2469598826269,0.817090004008396,0.761537166447512,0.593012263088841
"PBANKA_010170",-0.50681466327586,-0.111034658394302,0.215530769971648,0.851516215262356,-0.747392032611553,-1.79286170832367,1.03956527405284,1.05149080331854
"PBANKA_010180",-1.00105168505538,0.678079836691804,-1.01132863429033,1.06322893556472,1.35684659813623,-1.10266602939308,-0.396408908812274,0.413299887158318
"PBANKA_010190",0.0504132355863039,-0.821383454079393,1.4592363968,0.189694510411601,-0.462616769195032,0.655973472170643,0.676623637153581,-1.74794102884771
"PBANKA_010200",-0.532909102305884,-1.08964989007153,0.794179093254034,-1.42621734866649,0.572499850950922,0.43615288647704,1.50888431819172,-0.262939807829814
"PBANKA_010210",-2.26775981587563,0.366936427612504,0.23947381084273,0.00151165603617283,0.513118641312636,-0.206997924416214,0.206295604990141,1.14742159949766
"PBANKA_010230",-1.25150375947837,0.378015444657938,0.753981051825096,0.00839361503169288,1.30484135348034,0.569371001131141,-0.12615807558971,-1.63694063105813
"PBANKA_010240",0.517558716576783,-1.04357285125401,0.787828403299923,0.655033701676526,-0.51197908324049,-1.47435481878533,-0.355650526703601,1.4251364584302
"PBANKA_010250",0.600412898758854,-1.35223556303774,0.941879837110779,0.873714404040154,-1.59293775902791,0.247652967535447,0.651658410109924,-0.370145195489511
"PBANKA_010260",0.351994853239697,1.01115054175813,-0.574138643543299,0.746154554802352,1.3766315480225,-1.29517468588263,-1.01803910872481,-0.598579059671944
"PBANKA_010270",0.384937715145538,0.378302687889856,0.129027654117589,1.93540568921949,-0.0457003161797327,-1.34859866299523,-0.938248018699922,-0.495126748497586
"PBANKA_010280",0.64159459734859,-0.252755894203385,-0.507051079305823,1.15120180920743,-0.0477632281964776,-2.01724658951522,0.104910288421968,0.927110096242923
"PBANKA_010290",1.28534833821213,-1.27100514029241,-0.386025026587252,1.41736051277242,0.543240719749032,-0.331331345188541,-1.06402077250263,-0.193567286162758
"PBANKA_010300",-0.844027094548208,1.83117795852168,0.0132808734824228,-0.0587774665964041,0.999100271061885,-0.240084586399798,-0.387305137122318,-1.31336481839926
"PBANKA_010310",0.434478262867687,0.694030641924713,0.518065983581709,0.31597326792355,1.38718325293057,-0.803489316380442,-0.999468181159508,-1.54677391168827
"PBANKA_010320",-0.419270058718116,1.5249287647326,-0.341492141242741,0.881908889877694,1.04495085569628,-1.14872461118262,-0.728801593389526,-0.81350010577357
"PBANKA_010330",1.34225179053392,-2.03562852463008,0.141030653380619,0.670443123999899,-0.611962519154988,0.457881014100854,0.0319998027685142,0.00398465900126253
