"","Ookinete","Sporozoite","Liver_stages","Ring","Trophozoite","Schizont","Gametocyte"
"PBANKA_010090",0.927501219490422,-1.92686179442773,-0.204654584773086,0.308288356756549,-0.514379205807286,0.830021915912902,0.580084092848234
"PBANKA_010120",-1.79889335858219,-0.155027866757837,-0.088039578759783,-0.433033059220588,1.38923442243756,0.655288316537843,0.430471124344994
"PBANKA_010140",0.690577407275944,-1.86127804392506,0.0249670253995068,0.592915232093346,0.899206606188894,0.474111896200027,-0.820500123232661
"PBANKA_010170",-0.365074858896345,0.0392507153133741,0.372867251552034,1.0225847137395,-0.610846706384262,-1.67888986606246,1.22010875073816
"PBANKA_010180",-0.941994691140389,0.650216748878236,-0.951739655086601,1.01542864169067,1.29384721419858,-1.03834897871646,-0.0274092798240482
"PBANKA_010190",-0.0586842008729353,-1.18676407741991,1.76429250529912,0.12154176829251,-0.722530291732205,0.724893352271676,-0.642749055838252
"PBANKA_010210",-2.17175438396783,0.472876063951586,0.344932845406382,0.106073446866852,0.619609462251727,-0.103222325467507,0.731484890958792
"PBANKA_010260",0.235782765380867,0.883757706917733,-0.674641446814201,0.623256641469713,1.24303934218555,-1.38344711369836,-0.927747895441303
"PBANKA_010280",0.704126513273295,-0.168282351016313,-0.416338762596695,1.20123123131294,0.031681109202115,-1.88948375705045,0.537066016875111
"PBANKA_010330",1.24491940938938,-1.88254563315222,0.132749419841773,0.622914505772887,-0.564421469785579,0.426110443446044,0.020273324487715
"PBANKA_010390",-1.11299285878508,0.835414920644902,-0.915345139304019,0.0786118086996089,1.60028310834688,0.276774565826213,-0.76274640542851
"PBANKA_010400",-1.46692740209566,1.46619033197616,0.00254417368342041,-0.261544755954894,1.1217925292446,-0.433262521278071,-0.428792355575554
"PBANKA_010410",-2.01046888775714,0.876217439878279,0.554680406159745,0.430628021423265,0.727691653296075,-0.281101734536783,-0.297646898463442
"PBANKA_010460",0.917393937140005,0.044731166660206,-0.489724612975363,0.490370349215916,1.28222713052585,-0.616544514652139,-1.62845345591447
"PBANKA_010470",-0.643022422263807,1.32719888234391,0.710295438289469,0.0739885216437894,0.787198540455198,-0.852701178241049,-1.40295778222751
"PBANKA_010480",1.89934695954065,-1.17362817930027,-0.454555430755596,0.639311791331358,-0.566941995363893,-0.270019004634894,-0.0735141408173516
"PBANKA_010490",1.20917617863524,0.598127369469576,-1.2285028969621,0.676888936274322,0.486906881348808,-0.393104193519161,-1.34949227524668
"PBANKA_010520",-0.133963160286855,1.61403796053715,-0.700323854806455,-0.771149161331544,1.17229249502712,-0.258569556831205,-0.922324722308213
"PBANKA_010530",0.0659599855919359,0.635956381992017,-1.07644836393462,-0.51612721595733,1.90730674573845,-0.432576650332988,-0.584070883097468
"PBANKA_010540",0.224159278469603,-1.57933976488532,-0.494932143407182,0.760064437829484,1.07590018531012,0.865887561950377,-0.85173955526709
"PBANKA_010560",0.715959467484518,-1.97625142589418,0.774320370908075,0.516036637071818,-0.681855480737671,0.464863224985461,0.186927206181982
"PBANKA_010580",-0.752179327456766,1.36787855748564,0.384917189313212,-0.184863420708249,1.07680742878471,-1.41017247489267,-0.48238795252588
"PBANKA_010590",-0.862357402544745,0.388171824996075,1.70426963511949,0.29274929266952,0.122904346201844,-1.43364435769489,-0.212093338747299
"PBANKA_010600",-0.527870608248132,1.99954472263954,0.454114538148774,0.0335652871919589,-0.293572330969046,-0.978197348096003,-0.687584260667092
"PBANKA_010620",0.878301182976524,-0.52293634626188,0.186945649071218,1.19584198045074,0.695284538387354,-1.06521029334596,-1.368226711278
"PBANKA_010640",-0.425061621504193,1.60277039235566,-0.441976833063052,-0.609206442172066,1.29086100570896,-0.627578227287247,-0.78980827403806
"PBANKA_010650",-0.333548282455283,1.4975194007797,-0.490735567102643,-0.412702593045487,1.37556786952924,-0.865148383782314,-0.770952443923208
"PBANKA_010660",-1.14930547064201,1.59792285443698,0.292622715186329,-0.722294867673695,0.947286809420045,-0.760827272876194,-0.205404767851452
"PBANKA_010690",1.29429893874347,-1.26261175236787,0.279580574316635,1.25127512801783,-0.753258748970415,-0.0949019174022505,-0.714382222337395
"PBANKA_010710",-1.27641043519682,0.601795990752842,1.58896162534913,-0.462596409428993,-0.206126565950758,0.650870556738299,-0.896494762263696
"PBANKA_010730",-0.546220341646782,-0.567841601191837,1.49166494137807,-1.42975235550634,0.115928265187419,1.04180420538889,-0.105583113609409
"PBANKA_010740",0.00684631490041068,-0.334912562843924,-0.376779526223856,-1.27913623340222,1.73799783662778,0.850571566331214,-0.604587395389397
"PBANKA_010750",0.922711925040169,-0.341446031024222,0.361811596376428,0.40689694189832,-0.313491929588086,-1.95004420210371,0.913561699401106
"PBANKA_010760",1.17242531078834,-1.98140247909591,0.282882589957323,0.187058147132501,-0.490321054337642,0.422364463162988,0.406993022392405
"PBANKA_010770",-0.893806617470321,1.78196098934658,-0.480406579777896,-0.937134989420955,0.916503552141078,-0.223591455211854,-0.163524899606629
"PBANKA_010790",0.36333115170798,1.13751814537529,-0.974264561440558,0.107569039177079,1.3077707087255,-0.877472047700259,-1.06445243584503
"PBANKA_010800",-0.197635529275078,-1.38326361761259,-0.510716792719358,0.825506431354953,-0.87853672737075,1.20203227681472,0.942613958808102
"PBANKA_010820",1.50408435628825,-1.4679382869916,-0.0474410796467585,0.879730909394915,-0.557742095875119,0.317605918786857,-0.628299721956539
"PBANKA_010840",1.62125207274956,-0.611127726775493,-0.190200885917363,0.90509224228868,0.117627117522183,-0.456997248094629,-1.38564557177293
"PBANKA_010860",-0.645327954073192,1.88046821611283,-0.476980369491567,-0.218438051357398,0.459292287315102,0.229259580516136,-1.22827370902191
"PBANKA_010870",0.0486670928622608,0.901064854910394,-1.07503975702599,0.58684088857883,1.38954605754536,-0.781429016941025,-1.06965011992983
"PBANKA_010880",-0.596342671145519,1.63551367831818,-0.238544068804869,0.492833524709911,-0.402775422354889,0.581982722448362,-1.47266776317118
"PBANKA_010910",-1.33142922309648,1.18272795988129,-0.297100847211085,-0.502836845461149,1.33347759489375,0.371107124025962,-0.755945763032283
"PBANKA_010920",1.54633680175316,-0.375468253370568,-0.587347799109969,-0.364508814353332,1.21269568683184,-0.218612527672229,-1.2130950940789
"PBANKA_010950",-1.47674491605723,1.50031239107479,1.04025714760425,-0.343717146226441,-0.53095089829752,0.0900995526281211,-0.27925613072598
"PBANKA_010960",-1.07470293309168,1.56469269623457,0.109627553821338,-0.30676815593312,0.996983927692835,-0.162830546099502,-1.12700254262444
"PBANKA_010970",0.345767723119106,-1.43740551202379,0.318324248790481,0.986713356658738,-1.37608728839505,0.289934061931414,0.872753409919094
